baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
Bacteroides eggerthii	4048.79989579754	-29.1940360625745	3.90677461223682	-7.4726696470108	7.85839575775396e-14	1.00587465699251e-11	Higher in Omnivore
Jutongia sp. SJQ-6	364.167128695733	12.1011117581623	2.60929337485517	4.63769688559226	3.5231295101274e-06	0.000225480288648154	Higher in Vegan
Blautia luti	101.774745710928	10.2619251548239	3.06965100974779	3.34302665750498	0.000828699386583982	0.0353578404942499	Higher in Vegan
Alistipes sp. i18-0019-D1	308.249751753535	-11.5606202589738	3.90689502627056	-2.95903017133516	0.00308608884945368	0.0460176674304356	Higher in Omnivore
Barnesiella sp. An22	144.157705817295	-10.4641750545867	3.5539015943511	-2.94441890884639	0.0032356172412025	0.0460176674304356	Higher in Omnivore
Bacteroides sp. D2	152.332306315863	10.8425489681374	3.52427803920926	3.07653052554564	0.0020942485829535	0.0460176674304356	Higher in Vegan
Faecalibacterium sp. PGM34	145.747932603896	10.77882904089	3.52990333483729	3.05357626496786	0.00226131235642741	0.0460176674304356	Higher in Vegan
Ruminococcus sp. SR1/5	317.026717780999	11.9006051388297	3.9069721508076	3.04599180118796	0.0023191415897164	0.0460176674304356	Higher in Vegan
Bifidobacterium pseudocatenulatum	293.067906295988	11.7876129910353	3.90698949085887	3.01705776752527	0.00255241165666227	0.0460176674304356	Higher in Vegan
