name	taxonomy_id	taxonomy_lvl	SRR8146935.bracken_num	SRR8146935.bracken_frac	SRR8146936.bracken_num	SRR8146936.bracken_frac	SRR8146938.bracken_num	SRR8146938.bracken_frac	SRR8146944.bracken_num	SRR8146944.bracken_frac	SRR8146951.bracken_num	SRR8146951.bracken_frac	SRR8146952.bracken_num	SRR8146952.bracken_frac
Mediterraneibacter glycyrrhizinilyticus	342942	S	0	0.00000	23	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Faecalimonas umbilicata	1912855	S	0	0.00000	425	0.00099	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterocloster clostridioformis	1531	S	0	0.00000	36	0.00008	27	0.00009	0	0.00000	67	0.00011	54	0.00012
[Clostridium] symbiosum	1512	S	0	0.00000	105	0.00024	0	0.00000	19	0.00005	30	0.00005	0	0.00000
Faecalibacillus intestinalis	1982626	S	0	0.00000	250	0.00058	0	0.00000	0	0.00000	3088	0.00503	2142	0.00490
Collinsella stercoris	147206	S	0	0.00000	76	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fusobacterium mortiferum	850	S	0	0.00000	5927	0.01376	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Fusobacterium sp. SB021	2744227	S	0	0.00000	18	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Buchavirus faecalis	2955550	S	0	0.00000	82	0.00019	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Buchavirus hiberniae	2955551	S	0	0.00000	55	0.00013	0	0.00000	0	0.00000	45	0.00007	0	0.00000
Aurodevirus hiberniae	2955382	S	0	0.00000	38	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteroides intestinalis	329854	S	0	0.00000	0	0.00000	186	0.00059	0	0.00000	0	0.00000	1585	0.00362
Bacteroides cellulosilyticus	246787	S	0	0.00000	0	0.00000	369	0.00118	0	0.00000	0	0.00000	115	0.00026
Phocaeicola coprophilus	387090	S	0	0.00000	0	0.00000	95	0.00030	0	0.00000	0	0.00000	0	0.00000
Alistipes sp. dk3624	2662363	S	0	0.00000	0	0.00000	186	0.00059	0	0.00000	0	0.00000	197	0.00045
Butyricimonas faecihominis	1472416	S	0	0.00000	0	0.00000	317	0.00101	0	0.00000	0	0.00000	0	0.00000
Parabacteroides goldsteinii	328812	S	0	0.00000	0	0.00000	371	0.00118	0	0.00000	0	0.00000	29	0.00007
Parabacteroides absconsus	2951805	S	0	0.00000	0	0.00000	190	0.00061	0	0.00000	160	0.00026	0	0.00000
Parabacteroides chongii	2685834	S	0	0.00000	0	0.00000	24	0.00008	0	0.00000	0	0.00000	0	0.00000
Paraprevotella xylaniphila	454155	S	0	0.00000	0	0.00000	1223	0.00390	0	0.00000	151	0.00025	456	0.00104
Paraprevotella clara	454154	S	0	0.00000	0	0.00000	537	0.00171	0	0.00000	613	0.00100	1786	0.00408
Barnesiella viscericola	397865	S	0	0.00000	0	0.00000	32	0.00010	0	0.00000	0	0.00000	0	0.00000
Coprobacter secundus	1501392	S	0	0.00000	0	0.00000	214	0.00068	82	0.00022	0	0.00000	0	0.00000
Escherichia coli	562	S	0	0.00000	0	0.00000	16282	0.05197	0	0.00000	2001	0.00326	0	0.00000
Faecalibacterium sp. I4-1-79	2929494	S	0	0.00000	0	0.00000	195	0.00062	0	0.00000	1108	0.00180	0	0.00000
Dysosmobacter sp. Phy	3465159	S	0	0.00000	0	0.00000	1090	0.00348	0	0.00000	0	0.00000	0	0.00000
Ruminococcus champanellensis	1161942	S	0	0.00000	0	0.00000	1006	0.00321	0	0.00000	0	0.00000	0	0.00000
Ruminococcus callidus	40519	S	0	0.00000	0	0.00000	13	0.00004	52	0.00014	140	0.00023	454	0.00104
Oscillibacter hominis	2763056	S	0	0.00000	0	0.00000	168	0.00054	0	0.00000	0	0.00000	192	0.00044
Subdoligranulum variabile	214851	S	0	0.00000	0	0.00000	61	0.00019	0	0.00000	102	0.00017	0	0.00000
Eubacterium ramulus	39490	S	0	0.00000	0	0.00000	99	0.00032	64	0.00017	411	0.00067	1891	0.00432
Eubacterium callanderi	53442	S	0	0.00000	0	0.00000	24	0.00008	0	0.00000	0	0.00000	0	0.00000
Coprococcus eutactus	33043	S	0	0.00000	0	0.00000	4079	0.01302	48	0.00013	0	0.00000	0	0.00000
Wujia chipingensis	2763670	S	0	0.00000	0	0.00000	2557	0.00816	0	0.00000	36	0.00006	23736	0.05428
Blautia hydrogenotrophica	53443	S	0	0.00000	0	0.00000	19	0.00006	0	0.00000	82	0.00013	0	0.00000
Eisenbergiella porci	2652274	S	0	0.00000	0	0.00000	32	0.00010	0	0.00000	51	0.00008	0	0.00000
Christensenella sp. MSJ-20	2841518	S	0	0.00000	0	0.00000	31	0.00010	0	0.00000	0	0.00000	0	0.00000
Acidaminococcus intestini	187327	S	0	0.00000	0	0.00000	1646	0.00525	0	0.00000	0	0.00000	0	0.00000
Phascolarctobacterium faecium	33025	S	0	0.00000	0	0.00000	138	0.00044	0	0.00000	0	0.00000	11	0.00003
Limosilactobacillus mucosae	97478	S	0	0.00000	0	0.00000	195	0.00062	0	0.00000	0	0.00000	0	0.00000
Enterococcus faecium	1352	S	0	0.00000	0	0.00000	299	0.00095	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium bifidum	1681	S	0	0.00000	0	0.00000	1289	0.00411	0	0.00000	0	0.00000	0	0.00000
Cloacibacillus evryensis	508460	S	0	0.00000	0	0.00000	165	0.00053	0	0.00000	0	0.00000	0	0.00000
Junduvirus copri	2956035	S	0	0.00000	0	0.00000	20	0.00006	0	0.00000	0	0.00000	0	0.00000
Satomivirus wayo	3432268	S	0	0.00000	0	0.00000	145	0.00046	0	0.00000	0	0.00000	0	0.00000
Bacteroides sp. D2	556259	S	0	0.00000	0	0.00000	0	0.00000	254	0.00068	162	0.00026	0	0.00000
Desulfovibrio piger	901	S	0	0.00000	0	0.00000	0	0.00000	15	0.00004	0	0.00000	0	0.00000
Faecalibacterium sp. PGM34	3567997	S	0	0.00000	0	0.00000	0	0.00000	233	0.00063	214	0.00035	0	0.00000
Ruminococcus sp. SR1/5	657323	S	0	0.00000	0	0.00000	0	0.00000	352	0.00095	1377	0.00224	0	0.00000
Blautia parvula	2877527	S	0	0.00000	0	0.00000	0	0.00000	46	0.00012	30	0.00005	0	0.00000
Blautia luti	89014	S	0	0.00000	0	0.00000	0	0.00000	42	0.00011	246	0.00040	444	0.00102
Jutongia sp. SJQ-6	3445972	S	0	0.00000	0	0.00000	0	0.00000	111	0.00030	2840	0.00463	339	0.00078
Blautia sp. SC05B48	2479767	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	127	0.00021	0	0.00000
Blautia producta	33035	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00004	22	0.00005
Anaerostipes caccae	105841	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	74	0.00012	0	0.00000
Roseburia rectibacter	2763062	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	92	0.00015	23	0.00005
Mediterraneibacter faecis	592978	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	303	0.00049	184	0.00042
Dorea amylophila	2981789	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	102	0.00017	70	0.00016
Sellimonas intestinalis	1653434	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	79	0.00013	0	0.00000
Sellimonas caecigallum	2592333	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00003	0	0.00000
[Clostridium] scindens	29347	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	63	0.00010	122	0.00028
Hungatella hathewayi	154046	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00005	16	0.00004
Eshraghiella crossota	45851	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	25	0.00004	0	0.00000
Ruminococcus bovis	2564099	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	606	0.00099	0	0.00000
Eubacterium sp. MSJ-33	2841528	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	41	0.00007	130	0.00030
Butyricicoccus sp. GAM44	2109686	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00002	0	0.00000
Intestinibacter bartlettii	261299	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	124	0.00020	42	0.00010
Romboutsia ilealis	1115758	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	29	0.00005	0	0.00000
Christensenella minuta	626937	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00004	0	0.00000
Streptococcus gordonii	1302	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	358	0.00058	0	0.00000
Streptococcus vestibularis	1343	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	932	0.00152	0	0.00000
Streptococcus salivarius	1304	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2566	0.00418	0	0.00000
Streptococcus parasanguinis	1318	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	727	0.00118	0	0.00000
Streptococcus sanguinis	1305	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	250	0.00041	0	0.00000
Lactococcus lactis	1358	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	185	0.00030	0	0.00000
Weissella confusa	1583	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	40	0.00007	0	0.00000
Granulicatella adiacens	46124	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	56	0.00009	0	0.00000
Thomasclavelia ramosa	1547	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	155	0.00025	0	0.00000
Turicibacter sanguinis	154288	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	133	0.00022	0	0.00000
Parvimonas micra	33033	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	48	0.00008	70	0.00016
Bifidobacterium pseudocatenulatum	28026	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2583	0.00421	438	0.00100
Bifidobacterium breve	1685	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	55	0.00009	0	0.00000
Schaalia odontolytica	1660	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	58	0.00009	0	0.00000
Rothia mucilaginosa	43675	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	98	0.00016	0	0.00000
Corynebacterium argentoratense	42817	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	80	0.00013	0	0.00000
Corynebacterium durum	61592	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00004	0	0.00000
Arachnia propionica	1750	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00002	0	0.00000
Arachnia rubra	1547448	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00002	0	0.00000
Eggerthella guodeyinii	2690837	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	204	0.00033	0	0.00000
Gordonibacter pamelaeae	471189	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1224	0.00199	0	0.00000
Gordonibacter urolithinfaciens	1335613	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00006	0	0.00000
Carjivirus communis	2955582	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1299	0.00212	0	0.00000
Carjivirus hominis	2955583	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00005	0	0.00000
Dialister succinatiphilus	487173	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	852	0.00195
Dialister sp.	1955814	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	43	0.00010
Hoskinsella hominis	2764325	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	24	0.00005
Bifidobacterium angulatum	1683	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00008
Raoultibacter timonensis	1907662	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00003
Methanobrevibacter smithii	2173	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	58	0.00013
Kingevirus communis	2956060	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	21	0.00005
